参加枠名,ユーザー名,表示名,コメント,参加ステータス,出欠ステータス,更新日時,受付番号
一般参加枠,h-arkt,h-arkt,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月25日 10時33分,1401986
一般参加枠,shiroica,shiroica,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月24日 23時21分,1401503
一般参加枠,toshis_,toshis_,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月28日 17時18分,1407063
一般参加枠,MitsuguShingu,MitsuguShingu,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月30日 01時25分,1409745
一般参加枠,ymst1107,ymst1107,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月31日 10時46分,1412080
一般参加枠,curry9999,curry9999,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月26日 09時43分,1403723
一般参加枠,baum204,makamimu,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月30日 19時31分,1411223
一般参加枠,tmogi,tmogi,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年11月1日 10時57分,1414071
一般参加枠,odoru99,Konishi Kenji,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月25日 03時44分,1401655
一般参加枠,snogami,snogami,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月27日 02時25分,1405667
一般参加枠,yskida,yskida,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月31日 09時17分,1411890
一般参加枠,kyohei-nakamura,Kyohei Nakamura,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月31日 11時28分,1412172
一般参加枠,YasuhisaOchiai,YasuhisaOchiai,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月24日 23時07分,1401486
一般参加枠,kawakamimanabu,KAWAKAMI Manabu,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月29日 09時29分,1407941
一般参加枠,dice_K247,dice_K247,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年11月1日 21時13分,1415865
一般参加枠,fujisakih14,fuji14,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年11月1日 17時09分,1415317
一般参加枠,HIROCASTER,hirocaster,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月30日 16時18分,1410720
一般参加枠,HirofumiHida,HirofumiHida,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月24日 17時55分,1400995
一般参加枠,Gako-Sho,Gako-Sho,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月31日 10時37分,1412064
一般参加枠,gashirar,Gashirar,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月30日 12時05分,1410327
